city,quality,floors,rooms,area_sqft,wall_length_ft,carpet_ratio,bricks_count,cement_bags,steel_kg,paint_liters,worker_days,total_cost
Chennai,premium,2,2,1429.3,81.8,0.64,17329,1023,6325,386,232,1355224.72
Mumbai,standard,3,9,1706.9,210.8,0.8,33299,1904,11425,736,462,2129767.48
Pune,standard,3,7,1735.6,148.3,0.58,32059,1906,11547,732,444,2405832.0
Jaipur,basic,3,9,1707.7,269.7,0.72,35484,1905,11419,739,462,2311401.74
Bengaluru,basic,3,8,1760.4,197.3,0.73,33225,1936,11739,747,453,1916393.47
Jaipur,basic,1,9,985.1,185.7,0.59,12411,448,2314,198,134,529561.84
Mumbai,standard,2,7,1142.5,188.7,0.6,18243,897,5159,355,224,956426.03
Coimbatore,basic,2,8,1181.5,190.5,0.69,17952,917,5318,369,230,1049507.51
Pune,basic,1,8,989.5,204.4,0.68,12339,446,2294,193,119,490605.85
Bengaluru,basic,1,2,968.3,80.0,0.7,7990,368,2178,142,103,383207.03
Ahmedabad,standard,2,9,1189.6,251.5,0.9,20513,941,5360,380,260,1184324.36
Hyderabad,basic,1,4,786.4,80.0,0.75,8132,321,1757,137,80,359424.68
Coimbatore,standard,1,5,1013.7,124.3,0.66,9320,408,2313,166,107,553240.95
Mumbai,basic,3,4,1690.2,133.2,0.77,30240,1827,11231,690,416,1854970.63
Jaipur,basic,3,3,1564.0,89.5,0.69,25650,1680,10331,631,407,2012063.65
Coimbatore,premium,2,5,1306.4,174.5,0.66,18934,982,5816,382,224,1505338.28
Kolkata,premium,3,8,1692.5,200.0,0.64,32278,1875,11310,716,446,2693122.51
Coimbatore,basic,2,3,1340.1,80.0,0.66,16079,980,5927,372,234,1184414.58
Bengaluru,standard,2,8,1290.4,202.7,0.67,19872,1004,5803,400,243,1073369.92
Jaipur,basic,1,9,783.8,269.8,0.72,13650,382,1853,173,103,459899.56
Ahmedabad,standard,1,2,549.9,80.0,0.9,5983,212,1252,85,42,265575.46
Mumbai,premium,1,3,727.6,80.0,0.67,6636,285,1660,115,93,395787.46
Mumbai,premium,3,7,1747.3,196.1,0.7,32558,1916,11613,734,465,2498999.89
Bengaluru,basic,2,9,1344.5,221.8,0.81,21369,1055,6035,422,259,1034295.88
Delhi,standard,1,2,688.0,80.0,0.62,6554,257,1516,111,61,309678.01
Kolkata,basic,3,4,1471.7,98.2,0.57,26736,1585,9752,603,362,1764568.57
Hyderabad,standard,1,6,564.5,149.9,0.67,7743,271,1340,122,78,319627.74
Bengaluru,standard,2,4,1433.3,123.8,0.59,17947,1047,6345,407,257,1195269.86
Hyderabad,standard,2,6,1370.5,157.7,0.82,19282,1030,6103,406,268,1225432.59
Hyderabad,premium,3,5,1691.7,129.0,0.64,31082,1836,11232,700,416,2500747.21
Bengaluru,standard,3,5,1896.4,163.5,0.74,33942,2050,12575,777,475,2199459.43
Hyderabad,standard,1,2,932.9,80.0,0.84,7130,352,2089,137,94,434419.41
Chennai,standard,1,5,694.8,109.9,0.65,6757,305,1628,128,88,326351.15
Pune,standard,1,6,990.3,139.0,0.78,9695,415,2244,177,124,533443.07
Bengaluru,standard,2,6,1252.3,167.7,0.63,18977,950,5605,376,254,1079194.42
Coimbatore,standard,1,4,1045.1,96.0,0.7,8682,416,2332,163,99,517357.25
Ahmedabad,standard,3,6,1729.5,125.4,0.66,30624,1891,11490,723,473,2357499.69
Jaipur,standard,1,6,913.8,152.2,0.7,9175,387,2097,166,103,499455.53
Chennai,standard,2,5,1359.9,116.5,0.75,17863,1016,6073,395,247,1101669.41
Mumbai,basic,3,5,1605.7,134.5,0.73,28383,1746,10671,660,413,1747946.48
Delhi,standard,2,9,1176.3,168.7,0.66,17470,929,5333,380,243,1065590.34
Coimbatore,standard,3,3,1577.3,80.0,0.66,26836,1704,10456,637,385,2202086.09
Hyderabad,standard,3,6,1765.4,150.5,0.75,31835,1922,11779,735,467,2094234.3
Jaipur,standard,1,7,904.5,196.0,0.74,11060,403,2079,172,126,558207.14
Kolkata,basic,2,2,1409.9,80.0,0.73,17272,1010,6254,382,235,1055493.87
Pune,standard,3,3,1752.5,80.0,0.62,28782,1883,11615,704,442,2265017.4
Jaipur,standard,3,7,1642.9,217.5,0.55,32303,1819,10946,692,432,2400302.76
Pune,premium,1,4,797.2,90.0,0.73,7805,332,1823,132,74,487782.22
Kolkata,premium,3,5,1529.4,104.4,0.69,26846,1671,10181,637,390,2298720.33
Mumbai,basic,3,2,1750.5,80.0,0.64,29660,1862,11555,706,432,1895812.62
Coimbatore,premium,1,9,1218.3,259.1,0.77,15447,529,2841,228,154,832160.32
Mumbai,standard,3,6,1578.6,106.3,0.74,28459,1737,10504,664,424,2013551.49
Ahmedabad,standard,3,2,1783.1,80.0,0.69,30236,1902,11808,717,436,2461759.15
Kolkata,standard,1,6,721.1,138.8,0.73,8661,334,1663,144,105,426505.43
Delhi,standard,1,2,989.9,80.0,0.72,7710,374,2208,142,81,415159.75
Jaipur,standard,2,9,1332.3,246.5,0.65,22684,1039,5988,420,249,1297926.81
Kolkata,standard,1,7,1126.7,172.8,0.72,12240,476,2601,200,127,575041.65
Ahmedabad,basic,3,2,1672.4,80.0,0.61,28083,1789,11076,667,421,1976417.12
Ahmedabad,basic,1,3,519.1,97.9,0.66,5819,226,1173,89,58,257699.8
Hyderabad,standard,1,4,770.1,136.0,0.71,8837,316,1741,137,84,384012.71
Ahmedabad,standard,2,6,1301.5,156.0,0.72,19521,985,5769,387,245,1238105.21
Coimbatore,basic,1,2,892.1,80.0,0.66,6787,351,1978,132,68,388619.31
Bengaluru,basic,1,9,970.8,248.2,0.56,14460,442,2301,201,137,466703.85
Delhi,basic,1,4,904.4,97.8,0.54,8504,364,2040,148,100,378698.11
Kolkata,standard,3,9,1670.1,205.3,0.71,31504,1856,11142,726,451,2187472.86
Pune,premium,2,3,1350.8,80.0,0.65,15215,986,5998,375,233,1458464.7
Coimbatore,standard,2,4,1565.7,125.9,0.52,19307,1143,6940,435,294,1506687.53
Kolkata,standard,1,2,1008.3,80.0,0.68,8147,369,2280,148,105,456135.29
Chennai,premium,2,2,1309.9,80.0,0.62,15266,941,5784,355,237,1221410.81
Ahmedabad,basic,3,6,1736.7,154.6,0.56,32176,1895,11567,723,451,2064329.16
Ahmedabad,standard,1,9,1103.7,262.9,0.76,14010,491,2543,218,144,618649.39
Ahmedabad,standard,3,5,1692.0,88.6,0.74,28671,1846,11259,699,444,2184168.93
Bengaluru,basic,2,7,1294.4,156.5,0.71,17883,992,5801,397,249,962492.45
Coimbatore,standard,2,7,1360.9,196.7,0.9,20184,1035,6082,410,264,1353708.42
Mumbai,standard,1,9,980.8,233.7,0.67,14297,447,2299,197,150,569270.1
Kolkata,basic,3,7,1738.7,169.1,0.76,32192,1911,11579,735,462,2059101.72
Jaipur,standard,1,9,964.1,226.0,0.84,12279,442,2237,198,117,566485.41
Ahmedabad,premium,2,7,1225.0,144.8,0.79,16664,945,5481,379,245,1374023.63
Ahmedabad,basic,2,6,1274.6,187.8,0.64,19365,969,5714,379,237,1037346.02
Mumbai,standard,1,8,741.6,216.0,0.69,11304,361,1728,160,109,418889.44
Jaipur,standard,2,3,1569.1,80.0,0.7,18675,1130,6955,429,276,1484133.94
Bengaluru,basic,3,5,1555.0,144.1,0.7,27022,1699,10341,644,413,1641728.4
Mumbai,premium,3,5,1943.5,139.0,0.74,34414,2094,12915,796,500,2806821.56
Hyderabad,standard,3,3,1239.0,82.5,0.75,21695,1336,8256,508,320,1616091.87
Ahmedabad,standard,3,7,1628.4,201.0,0.67,31863,1795,10878,690,437,2278104.42
Mumbai,standard,3,4,1631.2,125.2,0.82,28971,1759,10841,671,412,1991449.52
Chennai,basic,1,5,906.6,128.6,0.74,8978,378,2048,162,91,363043.21
Kolkata,basic,1,6,836.6,139.3,0.66,9890,351,1910,165,109,397740.27
Delhi,standard,1,6,1175.9,165.7,0.66,12073,480,2656,196,114,542571.26
Mumbai,basic,1,6,720.1,80.0,0.62,6165,321,1705,140,102,335924.39
Jaipur,premium,2,8,1185.2,212.3,0.68,18809,931,5344,371,239,1428967.2
Kolkata,standard,3,2,1606.8,80.0,0.57,26723,1714,10621,650,407,2123096.19
Delhi,premium,3,3,1315.9,80.0,0.74,22614,1419,8756,538,342,1899128.2
Delhi,standard,3,8,1715.1,192.4,0.65,32137,1893,11414,728,458,2131198.11
Hyderabad,standard,2,3,1188.5,80.0,0.73,15043,868,5296,333,216,1011732.7
Kolkata,standard,2,4,1408.8,118.4,0.73,18057,1030,6270,400,244,1274700.97
Chennai,standard,1,6,1030.3,147.0,0.72,10376,419,2339,182,115,475101.45
Ahmedabad,standard,1,5,741.4,138.1,0.67,8463,318,1751,130,85,411303.6
Jaipur,premium,1,6,892.8,149.2,0.69,9635,384,2050,165,115,591271.96
Hyderabad,basic,2,3,1430.0,84.3,0.74,16534,1046,6325,396,255,1063910.67
Kolkata,standard,3,9,1745.2,274.2,0.8,35957,1935,11674,748,489,2363237.23
Delhi,premium,1,3,848.9,94.3,0.68,7904,329,1887,134,86,464549.59
Ahmedabad,basic,2,9,1310.2,195.1,0.59,19936,1035,5911,407,233,1160686.68
Bengaluru,standard,3,9,1567.9,242.8,0.77,31791,1752,10484,685,430,1994840.5
Bengaluru,basic,2,7,1209.3,167.8,0.69,17999,929,5426,370,237,865122.95
Hyderabad,standard,3,7,1787.1,147.5,0.66,31634,1968,11888,755,464,2251663.88
Jaipur,standard,2,6,1102.7,107.3,0.61,14377,836,4927,329,202,1090345.59
Mumbai,basic,3,3,1549.6,80.0,0.61,26022,1667,10290,630,383,1669923.38
Jaipur,basic,1,7,635.7,176.1,0.8,8610,303,1493,138,77,357021.21
Jaipur,basic,1,4,769.4,106.2,0.63,7397,328,1755,128,87,360936.65
Pune,basic,2,9,1440.5,248.5,0.74,22552,1114,6479,445,282,1256157.61
Bengaluru,standard,3,7,1938.9,177.7,0.79,35583,2113,12880,810,499,2311457.73
Ahmedabad,standard,2,9,1233.1,181.9,0.71,18712,972,5603,396,259,1194347.55
Hyderabad,basic,1,2,783.7,80.0,0.73,6174,304,1756,113,74,322977.27
Bengaluru,basic,1,3,928.1,80.0,0.59,8002,367,2093,149,103,384552.7
Delhi,standard,3,2,1780.4,80.0,0.65,29635,1885,11795,708,443,2126841.59
Hyderabad,premium,1,4,1183.4,138.6,0.73,10756,466,2686,183,118,634165.86
Kolkata,basic,2,5,1312.0,80.0,0.75,15468,975,5860,382,235,1021172.87
Kolkata,standard,3,7,1650.1,190.5,0.69,30712,1822,10941,698,432,2171994.58
Coimbatore,premium,3,8,1593.1,222.7,0.72,30835,1778,10606,687,434,2774146.61
Pune,basic,3,5,1690.1,115.9,0.65,29623,1840,11223,701,436,1953349.99
Pune,basic,1,5,795.5,140.7,0.72,8107,330,1834,141,97,391738.66
Pune,standard,1,4,899.9,112.8,0.67,7980,360,2016,152,88,457497.55
Jaipur,basic,1,8,836.1,142.4,0.69,9079,393,1922,176,123,478519.16
Delhi,basic,1,6,1007.0,136.7,0.57,9258,424,2289,180,98,404285.6
Kolkata,standard,1,2,748.6,80.0,0.7,7053,288,1680,117,65,350505.54
Chennai,standard,2,5,1310.9,130.9,0.62,18090,973,5839,380,243,992336.25
Pune,standard,1,7,1083.0,170.0,0.7,12323,462,2512,197,133,595987.77
Pune,basic,1,4,804.2,106.5,0.68,8103,336,1810,134,74,384734.02
Hyderabad,premium,1,5,699.0,130.0,0.74,7917,310,1659,128,76,428645.31
Hyderabad,standard,2,9,1305.5,213.6,0.77,20340,1021,5891,411,261,1211183.93
Bengaluru,basic,2,2,1387.8,80.0,0.68,16324,999,6140,373,231,978578.01
Hyderabad,basic,1,7,1106.0,188.6,0.71,11662,471,2538,196,125,503744.23
Jaipur,basic,3,7,1612.8,193.7,0.69,29537,1775,10771,680,430,2119056.53
Hyderabad,premium,3,6,1944.1,153.9,0.7,35226,2117,12903,804,508,2915932.3
Jaipur,premium,1,5,678.0,170.4,0.71,8901,294,1529,125,94,516911.56
Delhi,standard,3,9,1556.5,285.5,0.68,34398,1749,10373,677,421,2014540.08
Kolkata,standard,1,9,957.8,207.1,0.72,12345,443,2244,193,132,564276.3
Chennai,standard,3,8,1840.5,209.8,0.61,34651,2027,12273,780,480,2096835.88
Delhi,basic,2,8,1079.6,183.0,0.67,16532,854,4885,343,216,900143.57
Jaipur,basic,2,6,1432.6,171.0,0.77,19324,1082,6401,424,269,1239530.52
Jaipur,standard,2,7,1253.2,203.7,0.57,19391,971,5607,381,234,1242455.49
Ahmedabad,premium,3,5,1595.2,149.7,0.77,29695,1736,10668,665,416,2532354.36
Coimbatore,basic,3,7,1956.4,219.0,0.76,36382,2141,12993,815,514,2524179.89
Bengaluru,standard,1,4,752.3,101.4,0.58,6308,315,1700,132,95,349811.39
Coimbatore,basic,2,7,1023.1,185.1,0.66,16489,810,4576,323,196,963312.27
Jaipur,standard,1,7,785.2,205.2,0.84,11347,354,1839,165,106,508156.16
Delhi,standard,1,2,992.9,80.0,0.64,7360,376,2238,150,109,453292.09
Delhi,standard,2,4,1152.6,80.0,0.74,14238,855,5153,334,222,935028.15
Chennai,basic,1,8,671.0,191.6,0.63,10073,339,1637,149,107,353420.72
Bengaluru,standard,1,5,1153.1,157.6,0.62,11678,468,2618,193,124,536557.34
Bengaluru,standard,3,2,1687.9,80.0,0.61,28836,1799,11170,673,420,2029324.91
Pune,basic,3,2,1830.2,80.0,0.7,30039,1945,12099,730,470,2114121.8
Chennai,standard,3,3,1617.5,123.4,0.7,29471,1738,10727,655,400,1867773.61
Pune,standard,1,4,1108.2,96.1,0.68,9400,442,2485,174,116,571379.28
Jaipur,basic,1,9,860.4,210.7,0.68,12480,402,1995,181,126,501518.72
Coimbatore,basic,1,3,1076.4,80.0,0.8,8026,416,2387,164,106,502615.52
Coimbatore,standard,3,2,1537.2,80.0,0.76,26502,1635,10194,620,364,2131041.14
Bengaluru,basic,2,9,1441.4,204.0,0.69,21535,1121,6465,445,286,1151138.86
Chennai,standard,2,2,1347.3,80.0,0.78,15804,964,5946,366,231,1053510.47
Pune,premium,2,8,1292.1,237.0,0.64,20416,1000,5831,400,253,1447573.89
Delhi,standard,2,9,1191.2,248.3,0.55,21238,945,5394,383,243,1074204.95
Mumbai,premium,2,2,1421.0,88.9,0.73,17785,1017,6273,387,235,1383088.72
Hyderabad,standard,2,5,1395.3,152.2,0.62,19614,1034,6215,407,261,1261827.97
Coimbatore,basic,2,7,1191.7,175.6,0.51,17960,915,5364,367,227,1093089.38
Hyderabad,standard,3,3,1626.0,80.0,0.61,26819,1744,10758,657,396,2025118.81
Bengaluru,standard,3,2,1468.8,80.0,0.67,24631,1567,9753,591,355,1742230.29
Delhi,basic,3,9,1827.3,230.0,0.59,35687,2028,12191,785,485,2131326.19
Coimbatore,premium,1,4,726.8,81.6,0.52,6774,296,1662,128,88,466526.68
Pune,standard,2,4,1557.1,128.7,0.73,19573,1142,6908,439,267,1377748.53
Bengaluru,standard,3,2,1613.1,80.0,0.83,28241,1720,10650,643,404,1963857.51
Bengaluru,basic,3,8,1729.4,229.6,0.67,33195,1915,11556,738,467,1873136.84
Coimbatore,basic,3,5,1773.6,167.6,0.62,32192,1923,11769,734,454,2163395.21
Bengaluru,premium,3,7,1840.2,191.8,0.74,34477,2015,12236,775,480,2791787.52
Coimbatore,standard,2,2,1286.8,80.0,0.68,15719,926,5701,353,211,1165098.12
Coimbatore,premium,1,9,841.4,231.3,0.69,12319,405,2037,182,128,641280.32
Chennai,basic,1,3,400.0,94.9,0.85,4322,184,870,79,50,163402.46
Coimbatore,standard,1,3,954.6,92.6,0.67,7084,374,2180,151,74,445958.38
Kolkata,standard,1,8,959.0,172.2,0.76,11124,429,2226,183,121,529941.38
Jaipur,standard,2,9,1336.6,227.4,0.72,21826,1043,6023,419,261,1360325.4
Ahmedabad,basic,3,4,1654.4,95.8,0.66,27346,1787,10984,680,416,2091093.43
Ahmedabad,standard,2,7,1150.9,138.7,0.82,17048,893,5151,361,223,1105549.88
Delhi,basic,3,8,1737.3,198.1,0.65,32069,1919,11609,743,465,1921770.4
Delhi,basic,2,6,1364.6,160.2,0.64,19686,1012,6102,411,239,1049291.6
Coimbatore,basic,1,6,970.9,159.8,0.76,10456,428,2229,175,97,480128.4
Jaipur,basic,2,8,976.4,208.8,0.81,17093,778,4379,319,211,862938.6
Kolkata,basic,2,2,1387.5,80.0,0.74,17110,986,6105,375,233,1078617.98
Ahmedabad,premium,3,2,1872.3,80.0,0.72,30460,1989,12393,736,485,3020013.03
Coimbatore,premium,1,6,919.9,143.8,0.83,9581,395,2138,169,109,653523.97
Chennai,basic,2,6,1317.5,160.3,0.8,18485,993,5856,387,242,961465.74
Bengaluru,basic,3,4,1590.8,138.4,0.79,28719,1716,10582,649,410,1818058.28
Kolkata,standard,1,3,961.6,80.0,0.59,7958,378,2154,148,85,444619.04
Bengaluru,standard,1,6,970.0,170.3,0.77,11196,409,2229,173,118,481599.37
Delhi,standard,1,4,921.9,98.9,0.55,8325,376,2139,151,92,421408.34
Pune,standard,3,5,1673.8,80.5,0.77,27540,1817,11093,691,429,2190024.13
Chennai,standard,1,8,1009.9,232.1,0.82,13456,449,2362,199,135,496617.7
Pune,premium,3,9,1696.8,262.4,0.81,35236,1896,11313,735,455,2643100.98
Kolkata,standard,3,8,1769.1,258.4,0.71,36806,1954,11797,750,484,2330030.19
Hyderabad,standard,3,7,1869.8,172.9,0.7,34070,2051,12477,786,511,2480428.73
Coimbatore,basic,2,4,1555.9,154.0,0.79,20960,1136,6917,442,277,1354024.92
Ahmedabad,standard,1,8,817.0,203.9,0.71,12082,381,1918,168,121,533884.62
Coimbatore,basic,1,2,986.2,80.0,0.74,7888,369,2202,146,88,432816.88
Jaipur,premium,1,4,711.1,80.1,0.69,6806,300,1628,126,74,454106.72
Hyderabad,standard,2,4,1125.8,80.0,0.76,14181,839,4977,320,211,900297.76
Bengaluru,basic,1,2,766.7,80.0,0.9,5497,296,1681,117,71,290256.7
Ahmedabad,standard,3,3,1482.7,109.0,0.67,25356,1601,9830,608,386,1938751.63
Kolkata,basic,2,3,1365.6,82.4,0.68,16515,998,6054,378,231,1045038.53
Coimbatore,basic,3,2,1924.8,80.0,0.76,30432,2048,12730,765,476,2320096.81
Jaipur,premium,1,7,852.9,157.8,0.58,9901,391,1985,163,112,608358.68
Bengaluru,basic,3,9,1252.1,247.6,0.62,26738,1422,8407,555,362,1456636.29
Mumbai,premium,1,3,1053.9,80.0,0.79,7987,404,2329,161,108,532976.94
Pune,standard,2,5,1203.4,151.4,0.52,17506,911,5399,354,220,1094481.56
Delhi,standard,3,7,1813.6,235.3,0.7,34769,1982,12090,763,486,2256680.8
Bengaluru,basic,1,5,790.1,120.0,0.6,9144,336,1826,141,83,338893.73
Chennai,basic,1,3,923.3,90.5,0.83,7960,362,2091,141,82,338612.22
Jaipur,basic,1,6,943.5,158.0,0.5,11275,398,2207,166,103,443659.68
Coimbatore,basic,3,5,1494.1,149.4,0.76,28548,1625,9941,619,385,1863235.4
Delhi,basic,2,2,1448.7,80.0,0.78,17265,1036,6390,391,261,1092218.51
Kolkata,standard,3,8,1895.8,190.0,0.68,34978,2087,12618,805,518,2405174.25
Bengaluru,premium,2,2,1234.5,102.0,0.78,16386,887,5456,333,217,1204032.57
Bengaluru,basic,3,5,1678.7,134.3,0.77,29145,1826,11154,692,412,1772820.78
Ahmedabad,standard,3,9,1753.3,283.1,0.7,36683,1947,11697,754,454,2516083.8
Coimbatore,standard,2,6,1179.8,126.5,0.68,17107,908,5248,354,214,1194803.3
Bengaluru,basic,1,7,910.9,170.1,0.83,10780,406,2056,174,136,446759.53
Pune,basic,2,8,1556.7,214.1,0.64,23077,1173,6948,469,306,1240663.06
Jaipur,basic,2,7,1082.3,187.7,0.71,18251,840,4864,340,202,962638.37
Pune,standard,3,5,1783.1,111.3,0.71,31387,1928,11847,735,457,2230644.49
Hyderabad,standard,2,5,1453.9,114.5,0.65,19152,1083,6476,420,260,1266735.69
Mumbai,standard,1,6,1122.8,148.1,0.7,11177,465,2554,194,135,535557.93
Ahmedabad,basic,2,7,1429.7,179.5,0.84,20501,1084,6392,424,260,1194154.95
Delhi,basic,1,2,1084.0,90.8,0.8,8171,401,2451,158,96,431844.58
Kolkata,premium,2,6,1332.9,179.2,0.61,19606,999,5935,393,254,1444682.44
Mumbai,basic,1,4,964.3,132.3,0.69,9350,387,2141,159,132,423339.73
Bengaluru,standard,3,4,1946.8,128.4,0.53,33977,2105,12921,788,494,2211501.65
Kolkata,standard,2,4,1171.3,90.3,0.82,14927,865,5191,331,199,1026307.6
Ahmedabad,standard,3,3,1935.6,80.0,0.68,31294,2073,12862,774,479,2646022.62
Ahmedabad,standard,3,6,1711.7,169.8,0.84,32592,1869,11377,713,457,2240911.19
Bengaluru,premium,3,4,1624.5,111.0,0.9,28192,1752,10802,666,428,2331021.5
Pune,standard,2,3,1024.6,87.5,0.59,13936,753,4549,288,188,907237.28
Delhi,standard,3,6,1753.2,150.1,0.75,31557,1915,11645,738,451,2287871.39
Delhi,premium,1,3,1072.0,80.0,0.79,9083,410,2404,162,100,604674.72
Hyderabad,standard,3,2,1941.6,80.0,0.87,31699,2063,12832,774,460,2431208.64
Ahmedabad,basic,2,2,1165.8,80.0,0.61,14714,850,5189,315,193,954292.88
Jaipur,standard,2,8,1357.8,207.7,0.85,20723,1052,6069,414,272,1392209.01
Ahmedabad,standard,2,6,1272.8,176.9,0.67,18796,957,5677,384,240,1172995.32
Pune,premium,2,8,1147.9,242.0,0.69,20894,899,5170,364,205,1333451.34
Pune,standard,1,5,729.9,161.1,0.68,8834,316,1677,140,92,411085.83
Hyderabad,standard,1,2,1017.5,87.5,0.75,8234,386,2267,148,111,495831.08
Ahmedabad,standard,1,3,1020.1,85.9,0.67,8272,393,2276,157,102,493487.59
Jaipur,standard,2,3,1445.5,80.0,0.76,17294,1042,6419,400,275,1406949.61
Delhi,standard,3,7,1549.4,138.5,0.63,28066,1700,10320,660,412,1911991.11
Chennai,standard,2,9,1399.3,220.0,0.69,21679,1084,6277,439,274,1141729.01
Ahmedabad,basic,3,8,1693.9,229.7,0.74,34563,1881,11329,733,462,2134444.66
Jaipur,standard,2,7,1316.2,165.8,0.73,18639,1002,5904,398,233,1207387.27
Kolkata,standard,1,2,932.8,80.0,0.76,8000,354,2086,141,96,446683.64
Coimbatore,basic,2,2,1256.4,80.0,0.79,16150,896,5587,339,202,1036310.78
Hyderabad,standard,2,5,1401.9,156.4,0.67,19472,1041,6277,396,245,1221794.62
Bengaluru,standard,3,5,1681.1,113.6,0.71,29505,1824,11161,695,433,1893424.41
Pune,standard,3,8,1788.7,237.3,0.62,34948,1968,11911,765,492,2342346.9
Jaipur,basic,3,2,1787.8,80.0,0.57,29862,1891,11821,714,445,2146172.44
Kolkata,standard,3,8,1602.9,208.9,0.73,32216,1783,10724,687,427,2119959.66
Chennai,standard,1,8,1089.9,230.1,0.68,13823,479,2532,202,134,540585.32
Jaipur,standard,2,3,1137.7,80.0,0.71,15019,835,5053,320,211,1052817.18
Delhi,standard,1,8,1112.8,217.8,0.64,13130,488,2563,207,130,582390.63
Hyderabad,standard,2,4,1311.6,99.5,0.67,16697,970,5845,375,231,1114025.93
Hyderabad,basic,1,2,902.9,80.0,0.71,6832,332,2033,132,76,343698.29
Hyderabad,standard,1,4,867.7,130.8,0.56,9899,364,1915,145,86,424551.05
Kolkata,basic,1,2,883.1,80.0,0.69,7473,327,1940,137,76,358192.13
Chennai,basic,2,5,1387.0,92.0,0.59,16892,1030,6143,403,241,1028900.78
Coimbatore,basic,1,3,965.8,80.0,0.75,7380,369,2164,148,92,446782.65
Kolkata,standard,3,4,1942.3,80.0,0.7,31690,2086,12895,794,502,2455914.48
Hyderabad,standard,1,8,751.3,179.3,0.66,10158,349,1772,166,119,440544.45
Ahmedabad,basic,1,2,1066.5,80.0,0.85,7269,402,2374,154,84,444994.76
Bengaluru,premium,1,7,1051.2,167.2,0.62,10422,459,2402,197,131,625576.27
Chennai,standard,1,6,844.6,173.4,0.69,9893,371,1947,159,99,395919.22
Ahmedabad,basic,2,7,1432.6,172.3,0.68,21048,1085,6396,434,271,1293840.91
Coimbatore,standard,2,4,1304.5,97.4,0.61,16995,957,5798,367,248,1300261.44
Kolkata,standard,2,7,1530.4,172.9,0.61,20473,1152,6810,452,294,1371713.79
Pune,standard,1,3,824.8,126.0,0.67,8727,317,1890,130,94,421310.95
Kolkata,premium,3,3,1632.1,105.3,0.64,28556,1748,10824,659,410,2421863.05
Jaipur,basic,1,6,891.7,159.4,0.65,9972,379,2099,167,110,476275.6
Chennai,standard,2,7,1240.1,147.5,0.68,17668,957,5539,380,241,1042478.19
Kolkata,premium,1,6,1166.1,136.2,0.76,10569,479,2668,199,103,613602.43
Chennai,basic,3,5,1983.1,129.6,0.6,34071,2142,13143,818,528,2109166.68
